section	category	display_name	relative_path	launcher	core
PLAY	ATARI 2600	COSMIC CREEPS (USA)	ROMS/A2600/Cosmic Creeps (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	COSMIC INVADERS (USA) (UNL)	ROMS/A2600/Cosmic Invaders (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	COSMIC SWARM (USA)	ROMS/A2600/Cosmic Swarm (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CRACK'ED (USA) (PROTO)	ROMS/A2600/Crack'ed (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CRACKPOTS (USA)	ROMS/A2600/Crackpots (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CRASH DIVE (USA)	ROMS/A2600/Crash Dive (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CRAZY BALLOON (USA) (UNL)	ROMS/A2600/Crazy Balloon (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CRAZY CLIMBER (USA)	ROMS/A2600/Crazy Climber (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CRAZY VALET (USA) (UNL)	ROMS/A2600/Crazy Valet (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CROSS FORCE (USA)	ROMS/A2600/Cross Force (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CROSSBOW (USA)	ROMS/A2600/Crossbow (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CRYPTS OF CHAOS (USA)	ROMS/A2600/Crypts of Chaos (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	CRYSTAL CASTLES (USA)	ROMS/A2600/Crystal Castles (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	DONALD DUCK'S SPEEDBOAT (USA) (PROTO)	ROMS/A2600/Donald Duck's Speedboat (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	DOUBLE DUNK (USA)	ROMS/A2600/Double Dunk (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	DRAGON DEFENDER (EUROPE)	ROMS/A2600/Dragon Defender (Europe).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	DRAGONFIRE (USA)	ROMS/A2600/Dragonfire (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	DRAGONSTOMPER (USA)	ROMS/A2600/Dragonstomper (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	DRAGSTER (USA)	ROMS/A2600/Dragster (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	DUCK ATTACK (USA) (UNL)	ROMS/A2600/Duck Attack (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ELEVATORS AMISS (USA) (UNL)	ROMS/A2600/Elevators Amiss (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ELI'S LADDER (USA)	ROMS/A2600/Eli's Ladder (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ELK ATTACK (USA) (PROTO)	ROMS/A2600/Elk Attack (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ENCAVED (USA) (UNL)	ROMS/A2600/Encaved (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ENCOUNTER AT L-5 (USA)	ROMS/A2600/Encounter at L-5 (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ENDURO (USA)	ROMS/A2600/Enduro (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ENTITY, THE (USA) (PROTO)	ROMS/A2600/Entity, The (USA) (Proto).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ENTOMBED (USA)	ROMS/A2600/Entombed (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ESCAPE FROM THE MINDMASTER (USA)	ROMS/A2600/Escape from the Mindmaster (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	ESPIAL (USA)	ROMS/A2600/Espial (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FOOTBALL (USA)	ROMS/A2600/Football (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FOREST (EUROPE)	ROMS/A2600/Forest (Europe).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FOUR-PLAY (USA) (UNL)	ROMS/A2600/Four-Play (USA) (Unl).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FRANKENSTEIN'S MONSTER (USA)	ROMS/A2600/Frankenstein's Monster (USA).a26	RETROARCH	stella2014_libretro.so
PLAY	ATARI 2600	FREEWAY (USA)	ROMS/A2600/Freeway (USA).a26	RETROARCH	stella2014_libretro.so
